levelNumber;level;unit;title;topic;writtenTask
2;Beginner;7;What can you do?;Writing a personal profile;Use the three profiles in the reference as models to write your own profile. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
2;Beginner;8;Activities and routines;Describing your family's eating habits;Introduce yourself to the online teachers. Tell them about your family and their food habits. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
3;Beginner;1;Meeting people;Replying to a new penpal;You receive this email from a new online pen friend. Write an appropriate reply. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
3;Beginner;2;What's the time?;Describing a friend's weekend routine;Task 1: You want to write a feature on the daily routines of a friend for a local magazine. Listen to him describe his weekend routine. Take notes. Type into the input box. Compare your text with the model answer. Task 2: Use the information in your notes below to write up the article. Remember to use third person forms. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
3;Beginner;3;Home and Family;Renovating your home;Your room is finished. Send an email to a friend to describe the room. Start your email with the sentence below. Type into the input box. When you're finished, click 'Submit.'  Hi, my room is finished. It's beautiful! There is / are…Write 20-40 words.
3;Beginner;4;Giving and folowing directions;Giving directions to a party at home;Jane is lost and needs more directions to get to your house. Use the map to reply to her text message. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
3;Beginner;5;Shopping for clothes;Giving suggestions about clothing;"A friend sends you an email with a web link, wanting your opinion on which clothes she should buy. Look at the clothes and write back to her with suggestions. Use the phrases below. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
Why don't you buy...   I think you should buy...   The _ is nice...   How about the _ ?   The _ is expensive.     The _ is cheap."
3;Beginner;6;Making plans;Writing your online profile;Write your profile. Use the information below to help you. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
3;Beginner;7;Shopping for food;Asking a friend to shop for you;"Your friend is at the supermarket. Write a text message to ask her to buy the food you need. You can also offer to cook her dinner. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
Start your message like this:  Hi, can you buy me..."
3;Beginner;8;Everyday objects;Choosing a birthday present;You've received an email from your classmate about your teacher’s birthday. Answer the email. Use the information below to help you. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
4;Elementary;1;What do you do?;Writing about what you do;Write about where you work, what you do, if you like your job and why / why not. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
4;Elementary;2;Daily routines;Describing routines;Now you are ready to write the letter to the housekeeper. Use the notes to write the letter. The notes also talk about your routine with your dog. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
4;Elementary;3;Having a party;Writing a party invitation;Now use the completed notes and write an email invitation. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words
4;Elementary;4;Sports and hobbies;Writing about what you like doing;Write an email reply to your friend and talk about the activities suggested. Say whether you can do them, like or don’t like them and whether or not you wish to do them for your birthday. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
4;Elementary;5;What does she look like?;Writing a description of your family;You're surfing the Internet and come across this page describing a person's family. Write a description of your own family below. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
4;Elementary;6;Talking about past events;Writing an autobiography;Mark has just written a short autobiography. Write one for yourself, using his as a model. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
4;Elementary;7;When I was young;Complaining about chores;"Look at the list of chores. As you see, Julia didn't do very much this week. In fact, YOU did most of her chores! Write her an email telling her all the chores you did. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
Dear Julia,

I'm very angry because I did most of the chores this week. Let me tell you what I did..."
4;Elementary;8;Welcoming visitors;Describing people in photos;"You are writing an email to your grandmother with some photos of your recent holiday attached. Describe the three photos. Describe who the people are, what they look like, what they're wearing and what they're doing. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
Hi granny,
How are you? Look at my photos..."
5;Elementary;1;Holidays and festivals;Planning to attend a music festival;"You want to write an email to your family to tell them about the music festival you’re going to. Tell them about the date, the cost of a ticket, the equipment you’re taking and the music you want to listen to. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
Use future forms such as: ‘I’m going to go to a music festival’, ‘I’m taking a tent, T-shirt and shorts…’, ‘I’m going to listen to pop and dance music’ and ‘Maybe it’ll rain’."
5;Elementary;2;Weather and places;Writing a holiday postcard;You are on holiday in California. Listen to the weather forecast and look at the information about Santa Monica. Write a postcard to your family about the weather and what you’re going to do today and tomorrow. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
5;Elementary;3;Talking about animals;Labeling photos from a safari;Reply to your friends questions. Write a short paragraph to describe the monkeys. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
5;Elementary;4;Habits and routines;Giving instructions to a house-sitter;You have a house with many plants, birds, fish and two dogs. You are going on holiday for a week. Your friend will help you look after the pets and house. Write a description of your routine for the house sitter. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
5;Elementary;5;What happened?;Filling out an insurance claim form;"You’ve been robbed! Luckily, you have insurance. Fill out an insurance claim form. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
ABC Insurance 
How did you discover the crime?"
5;Elementary;6;How did you meet?;Summarizing a story;Think of a book you want in the library. Look at the ideas. Write a summary for the databank. Look at the example first and copy the same structure. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
5;Elementary;7;At the doctor's;Writing a sick note;You and your friend, Mike, missed a good friend's wedding. Mike lets you see the email he sent to explain his illness. Now write your own email to your friends. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
5;Elementary;8;Small talk;Giving cultural tips to a visitor;Read the attached text about Canadian culture. Write an email to your friend who is coming to visit about what they should and shouldn’t do in Canada. Start the letter with ‘Dear friend, ‘. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words
6;Elementary;1;Movies and entertainment;Writing a movie plot;Decide what happens to John and Isabella. Write the final part of the story for your friend. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
6;Elementary;2;Getting there;Filling in an arrival card;A week later you receive an email from your elderly aunt. She is flying abroad for the first time. Reply to her email and answer all her questions. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
6;Elementary;3;Fashion and trends;Creating an office dress code;You receive another email from the manager. Read the instructions and write a new dress code for the office. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
6;Elementary;4;Finding a job;Writing a resume;Read the information in the Internet job advertisement. Write your own personal résumé for the job. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words
6;Elementary;5;Personality profile;Writing on the family blog;You’ve been asked to write on the family blog for other family members to read. Write a short description of some family members. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
6;Elementary;6;Habits and addictions;Writing an email of advice;You are an online counselor. Write an email to Polaris. Give her a plan to help her fight her shopping addiction. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
6;Elementary;7;Going to a restaurant;Complaining about a meal;"You just ate a very bad meal at a restaurant. Write a complaint in the complaints book. Follow the guidelines below. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
You ate a starter, a main course and dessert. You drank red wine and coffee. All of your meal was horrible. Describe what you ate and the bad taste."
6;Elementary;8;Networking;Rescheduling an appointment;Your friend has sent you a voicemail. Unfortunately you are busy on Tuesday lunch time. Suggest an alternative. Use the correct future forms and describe the restaurant. Type into the input box. When you're finished, click 'Submit.' Write 50-70 words.
7;Intermediate;1;Rules and instructions;Giving instructions to play a game;You're working at a summer camp for children aged 8-12. You have been given instructions for three popular camp games, but they are a little too difficult for the kids to understand. Your task is to write simpler instructions for them. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
7;Intermediate;2;Talking about the future;Planning for the future;Now write your career plan for the next five years. Use the ideas from the career planning website. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
7;Intermediate;3;Job interviews;Writing a job advertisement;You are leaving your current job and need to find a suitable replacement. Write an online job advert for your position. Use the text to help you. When you're finished, click 'Submit.' Write 70-100 words.
7;Intermediate;4; Experiences;Writing about a memorable experience;Reply to Tim. Use the notes to help you write the email describing an interesting story from your past. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
7;Intermediate;5;What's on TV?;Taking part in a TV viewing survey;Your friend sends you the survey results. How do the results, especially the ones for your demographic group, compare to your own viewing habits? Reply to Renee’s email telling her how they compare. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
7;Intermediate;6;On the job training;Issuing a written warning;"Write a formal letter of warning to James telling him what he has to do in order to improve. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
Begin your letter: Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve…"
7;Intermediate;7;Holiday experiences;Writing a letter of complaint;"Help your friend write her letter of complaint. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
Include the following information: 
1. Name of the travel company. 
2. Outline the problems clearly. 
3. Give specifics, comparing the ad with the experience of your friend."
7;Intermediate;8;Telling secrets;Posting comments on a celebrity forum;After your conversation with Emma, you decide to go on an online forum to read what other people are saying about Gavin Taylor. Read the thread and then add your own comments. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
8;Intermediate;1;Going to the doctor;Writing a natural remedies pamphlet;Read grandma’s email and choose three of the remedies you think will sell well. Write a pamphlet explaining the benefits of each product, and how to use it. You should explain who the product is best for. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
8;Intermediate;2;Talking about music;Reviewing a song for a website;"Read other fans’ views on an online music web forum. Write your review of 'Home Improvement' by Josh Woodward. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
1. Introduction: artist & song 
2. The song: instruments, vocals, lyrics 
3. Impression
4. Conclusion"
8;Intermediate;3;Dreams and wishes;Making a 'to do' list of your dreams;What are the things you’d like to do in your lifetime? Write a ‘bucket list’. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
8;Intermediate;4;Business travel;Describing a business trip;It's now Friday and the first half of your trip has passed. A friend or family member wants to know how your trip is going. Write an email describing your airport experiences and also what you plan to do but haven't done yet. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
8;Intermediate;5;Buying and selling;Selling items in an online auction;You have so much success selling your items on 'objectofdesire.com', you decide to place one more item on the online auction site. Choose a functional item from your house to sell. Write an email to potential buyers describing the item in an interesting and informative way, as well as how it works and how to use it. Use persuasive language. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
8;Intermediate;6;Relationships;Responding to written invitations;You have received this email. Respond to it, accepting or rejecting this declaration of love. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
8;Intermediate;7;New beginnings;Congratulating a friend on an award;Your friend has graduated at the top of their class and has won an award for their achievement. Write your friend an email congratulating them. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
8;Intermediate;8;Customer service;Claiming back your security deposit;"You're not happy with the response from the estate agent. Read the email then write to your lawyer. Describe the problems with the house, the threats you have made and ask for legal assistance. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
Dear Sir,

I am writing to ask your advice about a problem I have with my landlord and real estate agent..."
9;Intermediate;1;What's cooking?;Giving feedback to a restaurant;You've reached the end of the survey form and are being asked to give additional information. Write down in your own words what you thought about the food and drinks. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
9;Intermediate;2;Stages of life;Studying online;You applied for an online study program and have received news of your application by email. Read the email and reply, answering the request for specific information. Type into the input box. When you're finished, click 'Submit.' Write 150-180 words.
9;Intermediate;3;Let's make a deal;Making a business proposal;Your company makes pens. You receive an email expressing interest from a potential buyer. Read the email and write your proposal. Check your proposal includes all the information about the discounts your firm can offer and the terms of payment and delivery. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
9;Intermediate;4;Health and safety;Signing a waiver to go skydiving;You receive a reply from 'Fun Skydive' explaining the procedure. Write back confirming the steps you're going to take next concerning the waiver, insurance and terms and conditions. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
9;Intermediate;5;Accidents and emergencies;Writing safety guidelines;Write new, improved guidelines by improving the structure, information and grammar. Use the old guidelines to help you. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
9;Intermediate;6;The next generation;Asking for leave;Write the email to Angela Sun in the Human Resources department. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
9;Intermediate;7;Good and bad behavior;Writing an apology email;A few days later you receive the following email from John. You read it and realize that he cannot send this email to a client. Rewrite it in a style appropriate to business correspondence. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
9;Intermediate;8;Before and after;Writing a blog;Read Nikos’ blog to give you ideas then write your first blog entry. Type into the input box. When you're finished, click 'Submit.' Write 70-100 words.
10;Upper-Intermediate;1;Extreme activities;Helping a friend find a job;"Send Anna the zookeeper's job ad. It deals with animals, it's outside and it looks exciting! Write an email to Anna encouraging her to apply for the job. Try to use words and phrases such as 'absolutely', 'totally', 'by far the...', 'amazing', 'exhilarating', 'urge' and 'encourage'. Write 100-150 words.
Begin your email like this:
Hi, Anna! I’ve found an absolutely amazing job for you. Let me tell you why you should apply..."
10;Upper-Intermediate;2;Gender differences;Doing a survey about discrimination;Based on your research, write a list of questions that you would like to ask people in order to gather information for your project. Write 100-150 words. Type your answer into the input box.
10;Upper-Intermediate;3;The cost of living;Requesting a bank loan;Write a formal letter to the bank requesting the loan to open a mortgage explaining why you want to buy the house and how you intend to pay back the loan. Write 100-150 words. Type your answer into the input box.
10;Upper-Intermediate;4;Health and fitness;Applying to be a fitness trainer;The manager, Mr. Harry Martin, from the sports centre has asked you to write him an email outlining why you think you are suitable for the job. Write a convincing email as to why you are the perfect candidate. Use the CV to help you. Write 100-150 words. Type your answer into the input box.
10;Upper-Intermediate;5;Lifestyles;Finding a home for a wealthy client;Read the web page advertising Greek island properties. Make notes on the four properties, taking into account the Blight family's requirements. Remember, money is no object, but they would prefer not to have to do too many renovations. Write 100-150 words. Type your answer into the input box.
10;Upper-Intermediate;6;Telling stories;Describing a terrifying experience;Your friend Meg has had a terrifying day. After reading her email you decide to write to a local newspaper, summarizing her story. Write the summary below. Write 100-150 words. Type your answer into the input box.
10;Upper-Intermediate;7;Presenting information;Presenting trends;Write a description of the trends in the graph. Write 100-150 words. Type your answer into the input box.
10;Upper-Intermediate;8;Competition and cooperation;Giving feedback about a colleague;Write a performance review for a real colleague, boss or employee where you work (or study). Use the examples to help you. Make sure you describe both strengths and weaknesses. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;1;Talking about films;Writing a movie review;There is movie festival in your local town. Think of the last movie you watched and enjoyed. Write a review of the movie to promote the movie in the local newspaper. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;2;Fears and phobias;"
Helping a coworker deal with a phobia";You are Ian's friend and colleague. Read the leaflet and write an informal email to Ian encouraging him to keep his current job. Include a description of claustrophobia symptoms and some advice on how to cope with the phobia. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;3;Technology;"
Writing an advertising blurb";You work for an advertising company. You have been asked to write a blurb for a tech magazine extolling the virtues of a new gadget that your company is promoting. Read the email from your boss, and use the information in the table to write the advertising blurb. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;4;Beliefs and convictions;"
Writing up survey findings";Read the notes on a survey. Write up the findings of the survey. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;5; Career paths;"
Reviewing a self-help book";Task 1: You are a columnist for a leading American newspaper and have been asked to write a review on a new self-help book called ‘How to Make A Career Out of Courage,’ by Judith Wight. Read the excerpt and find a strength and a weakness. Type into the input box. Task 2: Read the excerpt again and write your review. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;6;Computers and the Internet;"
Setting rules for social networking";Use your notes to write five presentation slides about the hazards (dangers) of social networking sites to educate your employees about user security. Remember to use bullet points. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;7;Law and order;"
Dealing with a breach of contract";Using the notes from your lawyer, write a letter to your boss, Malcolm McDonald, insisting that TransWorld Enterprises pay you the overtime you are due. Write 100-150 words. Type your answer into the input box.
11;Upper-Intermediate;8;Listening skills;Improving your study skills;"Your teacher wants to know about your vocabulary strategies. Complete the 'needs analysis' form and describe all your current study skills and those which you would like more help with. Write 100-150 words. Type your answer into the input box.

For example: To help me with vocabulary, I …
Advice I would give myself: …
I wish I knew more about …"
12;Upper-Intermediate;1;Manners and etiquette;Turning down an invitation;Write the email to Graham, politely declining his invitation. Make sure that you use polite phrases, explain why you can’t come, and invite him and his wife next week instead (suggest some possible evenings). Write 100-150 words. Type your answer into the input box.
12;Upper-Intermediate;2;Books and stories;"
Entering a writing competition";You decide to enter a story-writing competition. Read about the details on the website and write your entry. Write 100-150 words. Type your answer into the input box.
12;Upper-Intermediate;3;Mysterious phenomena;Buying a painting for a friend;You went to the shop and bought a painting. You think you have found the sand painting that Shelley wants. Email her to confirm that the sand painting that you have bought is correct by describing the picture. Use your notes to help you. Write 100-150 words. Type your answer into the input box.
12;Upper-Intermediate;4;Corporate culture;"
Writing a report on staff satisfaction";The assistant to the HR Director has read all the completed surveys and is having a meeting with the Director to give feedback. You are the HR Director and you have to submit a report summarizing the findings from the survey. Listen to their meeting. List the five sections that you must include in your report. Write 100-150 words. Type your answer into the input box.
12;Upper-Intermediate;5;World English;Proofreading an article;Re-write Harry’s review correcting his typos and errors. Write 100-150 words. Type your answer into the input box.
12;Upper-Intermediate;6; Leadership qualities;"
Attending a leadership course";When you get back to the office, your colleagues want to know more about what you learned. Use your notes to write up a short report for them, using a variety of sentence structures (simple, compound, and complex sentences) to make your writing more interesting. Write 100-150 words. Type your answer into the input box.
12;Upper-Intermediate;7;Soft skills;"
Conducting a performance appraisal";At your appraisal meeting with Peter, you agree to send him on a training course. Read the website information from a training organization, choose an appropriate course for him, and write an email to the company. Tell them the kind of course you’re looking for, the content, mode and the length. Write 100-150 words. Type your answer into the input box.
12;Upper-Intermediate;8;Awkward situations;Writing an apology note;You decide to write Janice a note to apologize for Selma's behavior. Remember to include a polite opening, apologize for causing offense, acknowledge your responsibility, give a reason (not an excuse) for your lapse in judgment, and promise that it will never happen again. Write 100-150 words. Type your answer into the input box.
13;Advanced;1;Politics;Writing a campaign speech;Write your campaign speech for student council president. Think about the profile you fit – are you a socialist or a capitalist, or a bit of both? Convince your classmates that you are the best candidate. Write 150-180 words. Type your answer into the input box.
13;Advanced;2;Home design;Renting out a room;"You want to rent out your apartment. Use the sample advertisement and the details of your apartment to write an ad. Write 150-180 words. Type your answer into the input box.

Your apartment:
Location: Pacific Heights
Rent: $1,850 per month
Size: three bedrooms, two bathrooms
Features: remodeled modern kitchen, rustic porch, good views, original wood staircase and trim throughout house"
13;Advanced;3;Market research;"
Comparing two demographic groups";You now need to compare the two demographic groups. Read the information then write a proposal about both groups and the pros and cons of expanding into each of the two markets. Use the appropriate adjectives, adverbs and transition words to support your writing. Write 150-180 words. Type your answer into the input box.
13;Advanced;4;Fair trade;"
Giving advice about budgeting";You are a financial advisor. You receive a letter from a woman who has has to start economizing more in her life. Write back to her and outline your advice. Write 150-180 words. Type your answer into the input box.
13;Advanced;5;Contributing to society;"
Writing about a disaster relief effort";"Your local disaster relief organization has asked you to write an advertisement to recruit volunteers. Describe the damage in your own words then describe the different kinds of volunteer jobs the area will need. Write 150-180 words. Type your answer into the input box.

Start with: Carson County Needs You!"
13;Advanced;6;Art and design;"
Writing a brochure for a museum";You recorded the director's description of the 3 paintings. Listen to it again and write the brochure for the museum. Include as much information as you can about each, and also the exhibition dates. Write 150-180 words. Type your answer into the input box.
13;Advanced;7;Mother nature;"
Making an educational product for kids";Write an email to your boss (John Smith). In it, suggest a new group of animals to add to the cards and specific ways children could use the cards. Use the notes to help you. Choose the information you think is appropriate. Write 150-180 words. Type your answer into the input box.
13;Advanced;8;Reaching your potential;Reaching your potential;Your life coach asks you to write a summary of your needs and goals using Maslow’s hierarchy. Start with physiological needs and work up to self-actualization. Identify which of your needs are being met and which aren't, identify your goals, and mention any guidelines or deadlines you've made. Write 150-180 words.
14;Advanced;1;Advertising;Writing advertising copy;Choose one of the 3 images and slogans. Write an email to the CEO, giving reasons why you’ve selected the particular image and slogan and how it fits with Century’s image of classic, stylish products. Write 150-180 words. Type your answer into the input box.
14;Advanced;2;The environment;Choosing a renewable energy source;Now prepare your presentation on which kind of renewable energy would be beneficial to your city. Use the notes to help you. Write 150-180 words. Type your answer into the input box.
14;Advanced;3;Good and bad news;Writing a rejection letter;You work for a university admissions department. You are in charge of writing the letter that informs students that they weren’t accepted to the university this semester. Look at your rubric. Practice writing a sentence for each guideline. Now write the rejection letter, following the rubric. Write 150-180 words. Type your answer into the input box.
14;Advanced;4;Health and well-being;Attending a seminar on stress reduction;You have a friend who is experiencing a lot of stress from his job. He lives alone and has no immediate social support. Write a letter that expresses your understanding of his situation and gives some advice on managing stress. Write 150-180 words. Type your answer into the input box.
14;Advanced;5;Taking a risk;Talking a friend out of a risky action;Your friend has written you an email saying that he has found a quick way to get some things he wants. Write a reply to your friend warning him about the consequences of his behavior. Be as specific as possible. Use some of the expressions of warning you learned in the lesson. Write 150-180 words. Type your answer into the input box.
14;Advanced;6;Education and training;Applying for sponsorship;You have learned that you are eligible for government sponsorship. To obtain the sponsorship, you have to write an essay comparing and contrasting the two exams, and say which one you feel will benefit you the most. Support your essay with information from the chart. Write 150-180 words. Type your answer into the input box.
14;Advanced;7;Making a speech;"
Writing a wedding toast";Your daughter is getting married and you have to write the toast for her wedding. You found information online about writing toasts and then added details about your daughter and son-in-law. Use the information to write the speech. Write 150-180 words. Type your answer into the input box.
14;Advanced;8;Jokes and humor;"


Delivering a punch line";"Task 1: You're stuck in an elevator! Help is on the way, but you and the other people who are stuck are trying to tell stories to ease the tension. Tell a funny story to the other people. Task 2: Your story was a success! In fact, one of the passengers has asked you to write it down and email it to him. Write your funny story. Write 150-180 words. Type your answer into the input box.

Useful phrases: You’ll never believe this, but…
The most incredible thing happened…
It was so alarming…
Everything happened really fast.
...really lucked out."
15;Advanced;1;In the news;Covering a news story;Task 1: You're a journalist covering a big murder trial. Your connection at the police station has given you the interview tapes. Listen and make notes about what happened. Task 2: It's time to write your report. Write the story, adding some details of your own to 'spice it up'. Use the audio to help you. Write 150-180 words. Type your answer into the input box.
15;Advanced;2;Communication;Hosting a group of foreign buyers;A group of international buyers are visiting your company next month. They have asked you for some advice about business etiquette in your country. Write an email to the head of the delegation and tell him about the local customs, gestures, body language and rules of etiquette where you're from. Write 150-180 words. Type your answer into the input box.
15;Advanced;3;The power of the mind;Writing an article about NLP techniques;Imagine you are a family counselor writing a magazine article on NLP reframing. Listen to one of your clients talk about how she has successfully applied NLP reframing to a situation in her life. Then summarize her experience to use as an example in the magazine article. Write about Before NLP, After NLP, Techniques Applied. Write 150-180 words. Type your answer into the input box.
15;Advanced;4;The entertainment industry;Making a movie;Your work inspires you to make your own movie. Remember to include the title, the setting, and the characters. You can also choose actors to play each of your main characters. You should make a list of important crew members you will need and what they will be required to do. Write 150-180 words. Type your answer into the input box.
15;Advanced;5;E-commerce;"
Comparing two online retailers";Task 1: You're going to write a comparison review of two online retail websites. Read the notes then rank the issues in the order you think most important. Task 2: Now write a comparative review of the two websites. Structure your review around the aspects of an online retail website you think most important. Pay attention to the comparative structures you use in your text. Write 150-180 words. Type your answer into the input box.
15;Advanced;6;Urban issues;Writing an article about a superstore;"Task 1: You work as a local reporter. The new big-box store Super-Mart is planning to open in your town. Many citizens are concerned about this and have gathered for a meeting. Read what their concerns are and make notes. Task 2: Now write a letter to the mayor to express your point of view about Super-Mart. Write 150-180 words. Type your answer into the input box.

Start your letter like this:
Dear Mayor Bleak, I am writing to you to..."
15;Advanced;7;Quality of life;Writing about future lifestyles;As a result of your research and interest in the topic, you’ve been commissioned to write an article for a lifestyles magazine about how people’s lives will be different in 20 years from now. This article should be based on your opinions. You could consider work situations, home life, transport and the environment. Write 150-180 words. Type your answer into the input box.
15;Advanced;8;Meaning and symbols;"
Interpreting a prophecy";Look at the three pictures and write your interpretation of their content or meaning. Each picture represents a prophecy or prediction related to the future of mankind. Describe the events portrayed in each picture. Write 150-180 words. Type your answer into the input box.
16;Upper Advanced;1;Science and technology;Attending a robotics conference;Write a short report comparing the three robots for the web-based magazine. Write 150-180 words. Type your answer into the input box.
16;Upper Advanced;2; National identity;"
Writing about a symbol of your country";You've decided to enter an essay writing competition. Read the details, choose and research a symbol from where you live or one that you're interested in, then write your essay. Write 150-180 words. Type your answer into the input box.
16;Upper Advanced;3;Tough choices;Following a code of ethics;Task 1: You are a trainee journalist who decides to read about professional ethics before choosing which story to write. Here are some notes that you have made about potential stories. Task 2: Read them again in the light of what you have learnt about ethics and choose which story is the only one that you can write ethically, that is to say in accordance with the code of ethics from Activity 1. Task 3: Here are some further notes that you took at the press conference about the arrest. Read them and then write your article. Use an appropriate structure and journalistic style of language. Write 150-180 words. Type your answer into the input box.
16;Upper Advanced;4;Fame and fortune;Criticizing a celebrity;You and your friend are at the Star Attack seminar. For your final assignment, you have to choose one of the three celebrities from the website and ‘throw a brick’ at them. Write to the website, explaining which celebrity you want to attack, and why. Write 150-180 words. Type your answer into the input box.
